Student	Math	Biology	Chemistry	Physics
Student_001	79	62	94	75
Student_002	95	78	94	60
Student_003	64	78	96	88
Student_004	87	78	94	69
Student_005	78	78	71	69
Student_006	70	97	98	95
Student_007	82	66	97	83
Student_008	64	76	94	60
Student_009	71	76	100	88
Student_010	66	78	79	93
Student_011	70	77	79	97
Student_012	63	70	75	84
Student_013	89	61	98	87
Student_014	86	96	94	79
Student_015	99	86	90	92
Student_016	96	60	60	71
Student_017	74	68	82	78
Student_018	85	99	80	72
Student_019	93	85	85	75
Student_020	90	88	91	95
Student_021	91	63	87	100
Student_022	68	80	86	69
Student_023	66	87	75	69
Student_024	62	76	68	76
Student_025	95	98	77	97
Student_026	64	80	78	91
Student_027	73	98	97	93
Student_028	90	92	83	81
Student_029	95	70	100	81
Student_030	66	100	83	96
Student_031	77	88	95	63
Student_032	74	73	89	82
Student_033	71	74	99	74
Student_034	66	91	67	87
Student_035	69	73	74	65
Student_036	97	64	61	94
Student_037	74	75	81	91
Student_038	85	92	78	80
Student_039	60	70	75	93
Student_040	61	85	75	73
Student_041	65	99	80	68
Student_042	72	65	88	92
Student_043	93	65	97	92
Student_044	66	69	66	67
Student_045	91	80	94	90
Student_046	69	72	88	77
Student_047	80	88	75	86
Student_048	65	81	81	96
Student_049	80	85	67	76
Student_050	60	99	66	72
Student_051	71	96	71	92
Student_052	62	97	84	91
Student_053	100	75	81	86
Student_054	92	61	78	64
Student_055	99	98	98	62
Student_056	75	84	95	66
Student_057	79	61	96	69
Student_058	61	64	81	60
Student_059	85	62	96	68
Student_060	95	61	63	90
Student_061	100	69	79	97
Student_062	68	96	80	99
Student_063	66	72	71	87
Student_064	72	97	71	99
Student_065	94	63	82	76
Student_066	87	84	60	88
Student_067	62	72	100	65
Student_068	77	93	77	64
Student_069	77	73	61	88
Student_070	100	91	93	65
Student_071	71	82	71	93
Student_072	72	67	97	88
Student_073	73	83	61	67
Student_074	98	85	96	78
Student_075	90	62	83	72
Student_076	75	82	84	94
Student_077	93	96	90	73
Student_078	94	70	71	67
Student_079	68	77	69	86
Student_080	66	60	81	76
Student_081	89	85	77	62
Student_082	78	77	66	69
Student_083	93	63	80	77
Student_084	89	88	76	72
Student_085	61	62	61	78
Student_086	78	70	67	75
Student_087	68	92	100	93
Student_088	74	93	80	91
Student_089	71	87	98	61
Student_090	69	99	95	83
Student_091	62	89	77	87
Student_092	76	67	97	73
Student_093	93	93	73	61
Student_094	69	80	81	74
Student_095	60	79	81	84
Student_096	96	66	82	84
Student_097	60	90	68	92
Student_099	91	100	98	85
Student_100	91	97	92	80
Student_098	69	85	93	81
